id,name,followers,favourites
1,simonrodriguezi,-1,0
2,JesusFonsecaFi2,3,0
3,MonroyLucia,18,0
4,Josevgomezc,27,40
5,oscargiln,32,1200
6,NancyBarbosa4,45,481
7,AlvaroEMontero,356,24
8,paz_educa,370,148
9,PremioCompartir,695,694
10,luijmibermudez,859,96
11,JorgeCelisG,986,592
12,alcolegioenbici,2042,934
13,WiFiGratisCO,2417,868
14,PalabraMaestra,3226,3443
15,programaondas,3420,517
16,FCompartirCol,3466,3436
17,MalokaBogota,10687,3752
18,idepbogotadc,14842,207
19,ICFEScol,42296,1960
20,ICETEX,73201,4370
21,idartes,115473,1486
22,ColombiaAprende,209777,1238
23,Colombia,295703,3680
24,Mineducacion,570814,2555
25,Bogota,1472410,3297
26,RedAcademica,3143,11999
27,ConsejeriaTIC,12934,6029
28,BibloRedBogota,15746,4896
29,JBotanicoBogota,36030,8420
30,ConectividadCO,45947,8994
31,filarmonibogota,52328,9764
32,IDRD,95500,11789
33,Ambientebogota,104995,7609
34,Colciencias,132590,12239
35,CulturaenBta,150312,12030
36,Educacionbogota,159653,7822
37,museonacionalco,198270,6003
38,CompuParaEducar,356773,5956
39,MinAmbienteCo,485514,7892
40,mincultura,544837,15052
41,Ministerio_TIC,758695,5834
42,Corpoeducacion,-1,0
43,samidilo,12,13
44,Armadem18,15,18
45,Colombia_teAma,15,0
46,FAWOHODIEAYA,16,4
47,dinasuro13,24,0
48,webclemencia,25,0
49,lizethvans,26,7
50,IMAFARO,26,0
51,CarlosLucerna,26,0
52,elrefugio64,31,16
53,TFColombia,34,0
54,foropeduciencia,37,7
55,Mechas0924,50,8
56,teresaeca,52,1
57,porelderecho,68,0
58,Colombia_People,75,3
59,PorColombiaYORK,78,0
60,NELLYGARRETA,87,20
61,AccionSocialEmp,92,0
62,ffundaciones,96,0
63,antonioxxii,101,11
64,educameta,130,1
65,aepulidop,139,23
66,cgcarmenia,161,9
67,Redttu,163,9
68,promoeducacion,175,0
69,CaroMezaExE,178,2
70,go_annalogg,179,9
71,REDPatodos,180,5
72,ImFUNED,181,19
73,Margarita_T_N,195,9
74,EducacionMedios,197,0
75,DEVURL,204,0
76,AcademicsIT,222,0
77,portaleduca,231,0
78,educrea,237,0
79,TocaColombia,256,3
80,ACIQ_Bogota,259,30
81,NotiPedagogia,270,2
82,UNIDOSHispanos,283,0
83,LucyNietoC,284,11
84,ticeduso,301,0
85,RedUNISIC,305,0
86,patriharo,309,22
87,Educa_TIC,323,18
88,mastereducacion,330,0
89,DocenciayTIC,346,0
90,OEB_Bello,349,0
91,clic_ufro,375,0
92,FollowBack2845,394,1
93,cneducacion,424,0
94,telemac0,433,30
95,educacioncauca,458,0
96,sintoniaeduca,463,13
97,oracleskills,467,0
98,InsideOutGlobal,503,4
99,educaciononline,504,1
100,laempresasocial,523,1
101,mieducacion,524,0
102,edvoluntad,529,0
103,DIDAC_UIA,546,21
104,bajalealaluz,566,1
105,Lorenacomunica,569,21
106,mnchurruca,594,1
107,redescolarilce,607,7
108,bibliotecasalle,670,0
109,LinkEducation,673,0
110,Forum3setor,678,0
111,cbookpress,719,0
112,EmpresarialUIS,721,0
113,Educaclic,733,2
114,BoyacenseSoy,749,5
115,dbfeducacion,758,1
116,edus0l,760,2
117,JJPritchard,858,18
118,empresasemerges,885,0
119,SEGOBNL,929,0
120,desarollosocial,938,0
121,edufrikis,957,35
122,educacion,998,0
123,EdWeekPhoto,1015,13
124,teacherportal,1041,6
125,SchooledInSport,1122,0
126,ColombiaMoodle,1183,10
127,EWAedmoney,1251,0
128,dr_bit,1257,5
129,escuelatic,1287,1
130,aedorg,1307,1
131,portalinnova,1324,10
132,edu_chiapas,1336,0
133,Fundacciones,1353,0
134,olgalugonzalez,1417,36
135,UniversoyNinos,1480,17
136,cfieburgos,1516,3
137,maffegove,1550,26
