id,value
ant,
ant.simonrodriguezi,
ant.simonrodriguezi.JesusFonsecaFi2,3,0
ant.simonrodriguezi.MonroyLucia,18,0
ant.simonrodriguezi.oscargiln,32,1200
ant.simonrodriguezi.Josevgomezc,27,40
ant.simonrodriguezi.paz_educa,370,148
ant.simonrodriguezi.JBotanicoBogota,36030,8420
ant.simonrodriguezi.programaondas,3420,517
ant.simonrodriguezi.Ambientebogota,104995,7609
ant.simonrodriguezi.IDRD,95500,11789
ant.simonrodriguezi.idartes,115473,1486
ant.simonrodriguezi.filarmonibogota,52328,9764
ant.simonrodriguezi.AlvaroEMontero,356,24
ant.simonrodriguezi.alcolegioenbici,2042,934
ant.simonrodriguezi.BibloRedBogota,15746,4896
ant.simonrodriguezi.CulturaenBta,150312,12030
ant.simonrodriguezi.MalokaBogota,10687,3752
ant.simonrodriguezi.idepbogotadc,14842,207
ant.simonrodriguezi.ColombiaAprende,209777,1238
ant.simonrodriguezi.Bogota,1472410,3297
ant.simonrodriguezi.ConectividadCO,45947,8994
ant.simonrodriguezi.PalabraMaestra,3226,3443
ant.simonrodriguezi.ICETEX,73201,4370
ant.simonrodriguezi.Colombia,295703,3680
ant.simonrodriguezi.museonacionalco,198270,6003
ant.simonrodriguezi.MinAmbienteCo,485514,7892
ant.simonrodriguezi.Colciencias,132590,12239
ant.simonrodriguezi.Mineducacion,570814,2555
ant.simonrodriguezi.mincultura,544837,15052
ant.simonrodriguezi.CompuParaEducar,356773,5956
ant.simonrodriguezi.NancyBarbosa4,45,481
ant.simonrodriguezi.ICFEScol,42296,1960
ant.simonrodriguezi.WiFiGratisCO,2417,868
ant.simonrodriguezi.Ministerio_TIC,758695,5834
ant.simonrodriguezi.FCompartirCol,3466,3436
ant.simonrodriguezi.PremioCompartir,695,694
ant.simonrodriguezi.luijmibermudez,859,96
ant.simonrodriguezi.JorgeCelisG,986,592
ant.simonrodriguezi.ConsejeriaTIC,12934,6029
ant.simonrodriguezi.Educacionbogota,159653,7822
ant.simonrodriguezi.RedAcademica,3143,11999
ant.Corpoeducacion,
ant.Corpoeducacion.francylorena,2807,35775
ant.Corpoeducacion.lgasur,77,177
ant.Corpoeducacion.LuzAmparoMedina,277,2254
ant.Corpoeducacion.laristi123,119,2194
ant.Corpoeducacion.aepulidop,139,23
ant.Corpoeducacion.IvanDuque,515976,601
ant.Corpoeducacion.ANDARECLASS,613,10211
ant.Corpoeducacion.OperttiRenato,2308,4741
ant.Corpoeducacion.APCEIU,1743,1
ant.Corpoeducacion.Cerlalc,5486,1510
ant.Corpoeducacion.Tecnnova_UEE,3218,2349
ant.Corpoeducacion.Caro_HerreraAg,21,213
ant.Corpoeducacion.dinasuro13,24,0
ant.Corpoeducacion.Redttu,163,9
ant.Corpoeducacion.foropeduciencia,37,7
ant.Corpoeducacion.Andreaevila,439,348
ant.Corpoeducacion.CanadaColombia,5143,318
ant.Corpoeducacion.CanadayColombia,9814,1457
ant.Corpoeducacion.fundacionterpel,3342,469
ant.Corpoeducacion.GobDigitalCO,253860,9607
ant.Corpoeducacion.LaVerdeNatura,257,179
ant.Corpoeducacion.DirComunicacion,15085,3658
